class,eq_0,eq_20,eq_40,eq_80,eq_160,eq_300,eq_600,eq_1200,eq_2400,eq_5000,eq_10000,eq_20000,crestfactor,fold
dog_bark,0.31372709207289307,0.509608940505444,15.97205630223957,23.806945429596233,19.013657288231276,9.896538605405343,5.242836705330892,3.614683867258504,3.614683867258504,3.614683867258504,3.614683867258504,3.614683867258504,9.33442731518683,5
children_playing,6.910739971899981,7.460571664703949,7.091304035193481,5.694018183971688,3.8543998713569128,2.640367167798128,1.8918662024093846,1.8504143757639928,1.5412611223750912,0.8239146710081413,0.41777828399511346,0.3790891661441179,11.940308483440981,5
children_playing,6.398027069827249,6.052476847312133,5.68462742267848,4.941866917253316,3.4320446675471104,2.278605185420176,1.8870596983492987,1.4229389348887098,0.8941233574104086,0.4734542623159229,0.2402222340435132,0.21805092474922894,8.454537547611013,5
children_playing,5.1573479056760645,5.5630308116723235,5.564920001678794,6.222734727831814,4.3370634132291785,4.436010382668962,3.3653709979411093,2.9097302336370436,2.174155859130005,1.1728473494413294,0.6085604664147618,0.5521462914252697,9.255638486655208,5
children_playing,6.440980355167767,7.740646364512562,7.131680491174689,5.932447563396263,4.267274898554824,2.8737360203463003,1.954626298147615,1.8288480058064378,1.2550491974693339,0.6658794132529224,0.3383475018739547,0.30713268625848783,6.102388493456896,5
children_playing,5.7514549809722535,6.679462689384097,12.329677452405102,10.057519287374253,6.785587823571851,4.076390311256418,2.4962032796285873,1.7141324326854532,1.0573084718677883,0.5654477953557576,0.28849628780291425,0.2618507839677794,6.259386780212033,5
children_playing,8.023806815562278,8.678616690768376,9.559424133583141,7.833334662849168,5.6928777519630795,3.759972269893373,2.344398223450072,1.6796881254609488,1.0345129520063654,0.560196623472155,0.28497075465700444,0.2587256595906292,4.532840224486307,5
children_playing,8.328109897137981,8.021067358407567,10.21525087729471,8.739378707718892,6.038633487334036,3.72281853394523,2.46745783048713,1.6967031469085172,1.0660863310593118,0.5779461574578041,0.2950106035333097,0.2679519158315053,5.286193412981704,5
children_playing,6.150757241431272,6.456481897530691,9.578477570318748,7.700742170631271,5.262664110886905,3.2709272575292054,2.107226185768826,1.4263704619432904,0.9401400242092819,0.5003475090776316,0.2539239657059366,0.23057328377254566,6.372009002689037,5
car_horn,1.7727890060786602,6.569545891183642,17.16108687760949,16.074982756200804,10.503136640227943,7.176005187372181,4.132873205740721,2.4096471514150606,1.6255988863848145,1.6255988863848145,1.6255988863848145,1.6255988863848145,5.974984247722989,10
car_horn,0.48679124109122124,2.356960157692649,7.532777146962209,11.48072216725507,10.836842147109275,6.963573120139154,4.520832896276483,2.5439550168591545,1.303008581675869,1.1257079837577646,1.1257079837577646,1.1257079837577646,9.200526031825735,10
car_horn,2.426051761261889,5.724338670844672,5.804730172735242,4.55253465098931,3.246544762229232,2.8545306290423893,1.6378046095642431,0.902670058657197,0.902670058657197,0.902670058657197,0.902670058657197,0.902670058657197,6.4585503785741825,10
car_horn,0.7657738210892475,2.29705225850174,9.957855830423773,15.300530604914147,17.082386815226748,12.858752167872755,9.220609889139844,5.918567598037901,3.2554913830125924,1.8470813949505778,1.8470813949505778,1.8470813949505778,7.748745241183128,10
car_horn,7.334137873868949,6.5379965826529896,7.362448436283233,12.348090075424125,15.095216782355783,12.62549215101738,35.0850942328632,23.8284109329038,16.901023811133406,9.828853439751981,9.597582552113465,9.597582552113465,3.6559497204799722,10
dog_bark,4.3758727496897185,3.869018742112053,2.9743416999794796,2.5959675053062314,2.36549450728273,8.180582379001404,33.43134119617215,55.80380075340277,34.17136992475601,17.28040780800538,8.662953032814363,7.857621812569696,11.659775283084914,2
dog_bark,2.694526745097196,2.589964542027245,2.2752224184053307,2.2298394739300735,2.139481924436192,5.795278536174648,30.394944393353132,56.80516731621225,32.74619969048615,16.529078212221606,8.293417035941019,7.524884992657387,10.883011760191986,2
dog_bark,2.441272005221652,2.595436068000603,2.136102224378101,2.0557049781418195,2.0313114991395125,5.8544860004021695,39.44035968726958,57.21084747652883,32.10591184595751,16.20359244985232,8.122342776289775,7.367278394419741,10.277053245414436,2
